"responseid","need_open","need_obs","need_exp","need_sim","need_deriv","need_oth","need_othresp","use_nwstdy","use_calb","use_bnchmrk","use_vrfctn","use_inpt","use_idea","use_tch","use_nwprj","use_nwmth","use_trnds","use_cmprsn","use_smvs","use_intgrtn","use_oth","use_othresp","need_othdisc","find_othdisc","find_whoself","find_whograd","find_whosuppt","find_whonetwk","find_whooth","find_whoothresp","source_multrepos","source_discrepos","source_gov","source_netwk","source_lit","source_coderep","source_srcheng","source_profassc","source_datsrcheng","source_commrc","source_suppt","source_open","strategy_goal","strategy_serend","strategy_cit","strategy_extrct","strategy_oth","strategy_othresp","succs_srcheng","find_actonln","find_serendsrch","find_serendpas","find_share","find_netwk","find_creatr","find_collab","find_conf","find_list","accss_netwk","accss_creatr","accss_collab","accss_conf","accss_list","eval_netwk","eval_creatr","eval_collab","eval_conf","eval_list","find_litdat","find_litdatopen","find_ease","find_chalaccs","find_chalskill","find_chaldistrb","find_chaldigtl","find_chaltools","find_chalnetwk","find_chaloth","find_chalothresp","eval_infmeth","eval_infprov","eval_infrepcreatr","eval_infrelcreatr","eval_infrepsource","eval_infmeta","eval_infsize","eval_inffrmt","eval_inflic","eval_infcovg","eval_infpurps","eval_infaccs","eval_inftopic","eval_infopen","eval_stratart","eval_stratdoc","eval_stratcreatr","eval_stratnetwk","eval_strateda","eval_stratopen","eval_trstuse","eval_trstsource","eval_trstrepcreatr","eval_trstmeth","eval_trsterr","eval_trstaccs","eval_trstrelcrtr","eval_trstopen","eval_qualerr","eval_qualeda","eval_qualsize","eval_qualcomplt","eval_qualsource","eval_qualresltn","eval_qualrepcreatr","eval_qualprep","eval_qualcnsistnt","eval_qualopen","disc_agricul","disc_artshuman","disc_astronom","disc_biochem","disc_biological","disc_busin","disc_chemeng","disc_chem","disc_compsci","disc_decisionsci","disc_dentist","disc_earthplanet","disc_econ","disc_energy","disc_engtech","disc_environ","disc_healthprof","disc_immun","disc_matlsci","disc_math","disc_med","disc_multi","disc_neuro","disc_nurs","disc_pharma","disc_physics","disc_psych","disc_socsci","disc_vet","disc_infosci","disc_other","disc_othresp","dem_role","dem_roleoth","dem_exprnce","dem_country","dem_org","dem_orgoth","dem_sharself","dem_shargrp","dem_shardisc","dem_sharorg","dem_reuseself","dem_reusegrp","dem_reusedisc","dem_reuseorg","dem_shared"
2721," ","Observational or empirical","0","0","Derived or compiled","0"," ","0","0","0","0","Model, algorithm or system inputs","Generate new ideas","0","0","0","0","0","0","0","0"," ","Yes","it was public library found description in papaer","0","0","Research support professional","0","0"," ","Occasionally","Occasionally","Never","Occasionally","Often","Occasionally","Often","Often","Never","Never","Often"," ","With goal of finding data","0","Follow citations to data","Extract data directly from literature, tables or graphs","0"," ","Sometime successful, sometimes not","Occasionally","Often","Occasionally","Occasionally","Conversations with personal networks","0","New collaborations with data creators","Attending conferences","0","0","Contacting data creator","0","0","Disciplinary mailing list or forum","0","Contacting data creator","0","Attending conferences","0","Sometimes"," ","Sometimes challenging","Data are not accessible","0","0","Data are not digital","Online tools are inadequate","0","0"," ","Somewhat important","Somewhat important","Important","Not important","Important","Somewhat important","Extremely important","Extremely important","Extremely important","Important","Somewhat important","Extremely important","Extremely important"," ","Important","Important","Important","Less important","Important"," ","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important"," ","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Important","Somewhat important","Less important","Somewhat important"," ","0","0","0","0","0","0","0","0","Computer Sciences, IT","Decision Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","Researcher"," ","6-15","Egypt","University or college"," ","Data sharing is strongly encouraged","Data sharing is neither encouraged nor discouraged","Data sharing is somewhat discouraged","Don't know/ Not applicable","Data reusing is strongly encouraged","Data reusing is somewhat encouraged","Don't know/ Not applicable","Don't know/ Not applicable","No"
1495,"New genome sequencing data of microorganism; new structural data of biomolecule by NMR or X-ray diffraction;","0","Experimental","0","0","0"," ","Basis for new study","0","0","Verify own data","0","Generate new ideas","0","Prepare for new project or proposal","Experiment with new methods or techniques","Identify trends or make predictions","0","0","0","0"," ","Yes","From publications and databases in my research field","I find it myself","Graduate student","0","0","0"," ","Occasionally","Often","Never","Occasionally","Often","Occasionally","Occasionally","Often","Often","Never","Often"," ","With goal of finding data","Serendipitously, while reading or searching for literature","Follow citations to data","0","0"," ","Sometime successful, sometimes not","Often","Often","Occasionally","Occasionally","0","0","0","0","0","Conversations with personal networks","Contacting data creator","0","Attending conferences","Disciplinary mailing list or forum","0","0","New collaborations with data creators","0","0","Sometimes","To find data requires more different ways, and usually to contact the data creator is more difficult.","Sometimes challenging","Data are not accessible","0","0","0","Online tools are inadequate","0","0"," ","Somewhat important","Somewhat important","Extremely important","Important","Extremely important","Important","Important","Important","Extremely important","Somewhat important","Extremely important","Important","Important"," ","Extremely important","Important","Extremely important","Important","Important"," ","Extremely important","Extremely important","Extremely important","Important","Extremely important","Less important","Less important"," ","Extremely important","Less important","Less important","Extremely important","Extremely important","Extremely important","Extremely important","Somewhat important","Less important"," ","0","0","0","Biochemistry, Genetics, Molecular Biology","0","0","Chemical Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","Researcher"," ","6-15","China","University or college"," ","Data sharing is neither encouraged nor discouraged","Data sharing is neither encouraged nor discouraged","Data sharing is neither encouraged nor discouraged","Data sharing is neither encouraged nor discouraged","Data reusing is neither encouraged nor discouraged","Data reusing is neither encouraged nor discouraged","Data reusing is neither encouraged nor discouraged","Data reusing is neither encouraged nor discouraged","Yes"
2768,"Psychophysical experiment data(Subjective answer, physical data)","Observational or empirical","0","Simulation","0","0"," ","Basis for new study","0","0","0","Model, algorithm or system inputs","0","0","0","0","Identify trends or make predictions","0","0","0","0"," ","No","Not asked","I find it myself","0","0","0","0"," ","Often","Never","Never","Often","Often","Often","Often","Never","Never","Never","Never"," ","With goal of finding data","0","Follow citations to data","0","0"," ","Sometime successful, sometimes not","Often","Never","Often","Never","Conversations with personal networks","Contacting data creator","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","Conversations with personal networks","0","0","Attending conferences","0","Conversations with personal networks","0","0","Attending conferences","0","No","Not asked","Difficult","0","Don't know where or how to look for data","0","Data are not digital","0","0","0"," ","Extremely important","Extremely important","Somewhat important","Important","Important","Important","Extremely important","Important","Somewhat important","Less important","Important","Somewhat important","Somewhat important"," ","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important"," ","Important","Extremely important","Somewhat important","Extremely important","Somewhat important","Extremely important","Less important"," ","Somewhat important","Important","Extremely important","Extremely important","Important","Important","Important","Important","Extremely important"," ","0","0","0","0","Biological Sciences","0","0","0","0","0","0","0","0","0","Engineering and Technology","0","0","0","0","0","0","0","0","0","0","0","Psychology","0","0","0","0"," ","Student"," ","0-5","Japan","University or college"," ","Data sharing is somewhat encouraged","Data sharing is somewhat encouraged","Data sharing is strongly encouraged","Data sharing is somewhat encouraged","Data reusing is strongly discouraged","Data reusing is strongly discouraged","Data reusing is strongly discouraged","Data reusing is strongly discouraged","No"
1373,"Observational or experimental data for randomized ccontrol trials for infectious diseases","Observational or empirical","Experimental","Simulation","0","0"," ","Basis for new study","Calibrate instruments or models","0","Verify own data","0","Generate new ideas","Teaching","Prepare for new project or proposal","Experiment with new methods or techniques","0","0","0","0","0"," ","Yes","Mostly one to one communication or google search","I find it myself","0","0","Someone in personal network","0"," ","Never","Never","Occasionally","Often","Occasionally","Never","Often","Never","Never","Never","Never"," ","0","Serendipitously, while reading or searching for literature","Follow citations to data","0","0"," ","Rarely successful","Never","Occasionally","Occasionally","Often","Conversations with personal networks","Contacting data creator","New collaborations with data creators","0","0","Conversations with personal networks","Contacting data creator","0","0","0","Conversations with personal networks","Contacting data creator","0","0","0","Sometimes"," ","Difficult","Data are not accessible","Don't know where or how to look for data","Data are in many different places","0","Online tools are inadequate","0","0"," ","Extremely important","Extremely important","Important","Somewhat important","Important","Extremely important","Important","Important","Less important","Important","Extremely important","Important","Important"," ","Important","Extremely important","Important","Less important","Important"," ","Important","Somewhat important","Somewhat important","Important","Less important","Important","Less important"," ","Somewhat important","Important","Somewhat important","Important","Important","Important","Somewhat important","Somewhat important","Extremely important"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Other","Data Science","Researcher"," ","6-15","USA","University or college"," ","Data sharing is strongly encouraged","Data sharing is somewhat encouraged","Data sharing is somewhat encouraged","Data sharing is somewhat encouraged","Data reusing is strongly encouraged","Data reusing is strongly encouraged","Data reusing is strongly encouraged","Data reusing is strongly encouraged","Yes"
961,"It's hard to say. Examples: Empirical data of using new approaches, methods, and tools; Data regarding trends of specific domains.","Observational or empirical","Experimental","0","Derived or compiled","0"," ","Basis for new study","0","0","0","Model, algorithm or system inputs","Generate new ideas","Teaching","Prepare for new project or proposal","Experiment with new methods or techniques","Identify trends or make predictions","0","Make summarizations, visualizations or analysis tools","Integrate with other data to create new dataset","0"," ","Yes","Conferences, Literature, and Google.","I find it myself","Graduate student","Research support professional","Someone in personal network","0"," ","Often","Often","Occasionally","Occasionally","Often","Occasionally","Often","Occasionally","Occasionally","Never","Occasionally"," ","With goal of finding data","Serendipitously, while reading or searching for literature","Follow citations to data","Extract data directly from literature, tables or graphs","0"," ","Very successful","Often","Occasionally","Occasionally","Occasionally","Conversations with personal networks","Contacting data creator","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","Conversations with personal networks","Contacting data creator","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","Conversations with personal networks","Contacting data creator","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","No","Not asked","Easy","Not asked","Not asked","Not asked","Not asked","Not asked","Not asked","Not asked"," ","Extremely important","Extremely important","Somewhat important","Not important","Somewhat important","Extremely important","Somewhat important","Somewhat important","Important","Extremely important","Not important","Somewhat important","Extremely important"," ","Extremely important","Extremely important","Less important","Important","Important"," ","Extremely important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Not important"," ","Extremely important","Somewhat important","Not important","Important","Somewhat important","Important","Somewhat important","Not important","Somewhat important"," ","0","0","0","0","0","0","0","0","Computer Sciences, IT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","Manager"," ","6-15","China","Corporate"," ","Data sharing is somewhat encouraged","Data sharing is neither encouraged nor discouraged","Data sharing is strongly encouraged","Data sharing is neither encouraged nor discouraged","Data reusing is strongly encouraged","Data reusing is neither encouraged nor discouraged","Data reusing is strongly encouraged","Data reusing is neither encouraged nor discouraged","Yes"
3363," To experiment with new methods and techniques (e.g. to develop data science skills)","0","0","Simulation","0","0"," ","0","0","0","0","0","0","0","0","Experiment with new methods or techniques","0","0","0","0","0"," ","No","Not asked","I find it myself","0","Research support professional","0","0"," ","Occasionally","Occasionally","Occasionally","Often","Occasionally","Occasionally","Often","Occasionally","Often","Often","Occasionally"," ","0","0","Follow citations to data","0","0"," ","Sometime successful, sometimes not","Often","Occasionally","Occasionally","Often","Conversations with personal networks","Contacting data creator","0","0","0","0","Contacting data creator","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","0","0","0","0","0","Sometimes"," ","Sometimes challenging","Data are not accessible","0","Data are in many different places","0","0","0","0"," ","Important","Important","Important","Important","Important","Important","Somewhat important","Somewhat important","Important","Somewhat important","Extremely important","Important","Important"," ","Important","Important","Important","Important","Important"," ","Important","Important","Important","Important","Important","Important","Important"," ","Important","Important","Important","Important","Important","Important","Important","Important","Important"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Engineering and Technology","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","Researcher"," ","6-15","India","University or college"," ","Data sharing is somewhat encouraged","Data sharing is somewhat encouraged","Data sharing is somewhat encouraged","Data sharing is somewhat encouraged","Data reusing is neither encouraged nor discouraged","Data reusing is neither encouraged nor discouraged","Data reusing is neither encouraged nor discouraged","Data reusing is neither encouraged nor discouraged","Yes"
155,"Information about literature in my fields of professional interest","0","0","0","Derived or compiled","Other","Open Source code","0","0","0","0","Model, algorithm or system inputs","Generate new ideas","0","Prepare for new project or proposal","Experiment with new methods or techniques","Identify trends or make predictions","0","0","Integrate with other data to create new dataset","0"," ","Yes","Googling, advice from people in other professions","I find it myself","0","Research support professional","Someone in personal network","0"," ","Occasionally","Occasionally","Occasionally","Occasionally","Often","Occasionally","Often","Often","Occasionally","Occasionally","Occasionally"," ","With goal of finding data","Serendipitously, while reading or searching for literature","Follow citations to data","0","0"," ","Successful","Often","Occasionally","Occasionally","Occasionally","Conversations with personal networks","0","0","Attending conferences","0","0","Contacting data creator","0","0","0","Conversations with personal networks","0","0","Attending conferences","0","Sometimes"," ","Sometimes challenging","Data are not accessible","Don't know where or how to look for data","Data are in many different places","0","Online tools are inadequate","0","Other","Not sure what I am looking for","Less important","Less important","Not important","Not important","Important","Important","Not important","Important","Important","Important","Not important","Important","Somewhat important"," ","Important","Important","Somewhat important","Important","Somewhat important"," ","Important","Important","Not important","Less important","Somewhat important","Important","Not important"," ","Important","Important","Important","Important","Important","Less important","Not important","Less important","Important"," ","0","0","0","Biochemistry, Genetics, Molecular Biology","0","0","0","0","Computer Sciences, IT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Information Science","0"," ","Other","Programmer","16-30","Sweden","University or college"," ","Data sharing is strongly encouraged","Data sharing is strongly encouraged","Data sharing is strongly encouraged","Data sharing is strongly encouraged","Data reusing is strongly encouraged","Data reusing is somewhat encouraged","Data reusing is strongly encouraged","Data reusing is strongly encouraged","No"
2989," ","Observational or empirical","Experimental","Simulation","Derived or compiled","0"," ","Basis for new study","0","0","Verify own data","Model, algorithm or system inputs","Generate new ideas","0","0","0","Identify trends or make predictions","Compare multiple datasets to find patterns","Make summarizations, visualizations or analysis tools","0","0"," ","No","Not asked","I find it myself","0","0","Someone in personal network","0"," ","Often","Occasionally","Often","Occasionally","Occasionally","Often","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally"," ","With goal of finding data","Serendipitously, while reading or searching for literature","Follow citations to data","Extract data directly from literature, tables or graphs","0"," ","Rarely successful","Occasionally","Occasionally","Occasionally","Occasionally","Conversations with personal networks","0","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","Conversations with personal networks","Contacting data creator","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","Conversations with personal networks","0","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","Sometimes","Generating my own scientific data. Discovering. Finding. Testing hypotheses. Experimenting. Modeling. Surveying. Conversing. Talking. Listening. Watching.","Sometimes challenging","0","0","0","0","0","0","Other","It depends","Important","Important","Important","Somewhat important","Important","Important","Less important","Somewhat important","Extremely important","Important","Somewhat important","Somewhat important","Important"," ","Less important","Less important","Important","Somewhat important","Important"," ","Less important","Somewhat important","Somewhat important","Extremely important","Extremely important","Less important","Somewhat important"," ","Important","Less important","Not important","Less important","Somewhat important","Important","Important","Less important","Important"," ","0","0","0","Biochemistry, Genetics, Molecular Biology","0","0","0","0","0","0","0","Earth and Planetary Sciences","0","0","0","0","0","0","0","0","Medicine","Multidisciplinary","Neuroscience","0","Pharmacology and Toxicology","Phsyics","Psychology","0","0","0","0"," ","Researcher"," ","16-30","RUSSIA","Research institution"," ","Don't know/ Not applicable","Don't know/ Not applicable","Don't know/ Not applicable","Don't know/ Not applicable","Don't know/ Not applicable","Don't know/ Not applicable","Don't know/ Not applicable","Don't know/ Not applicable","Yes"
369,"Medical Images Examinations","Observational or empirical","0","0","0","0"," ","0","0","0","0","0","Generate new ideas","0","0","Experiment with new methods or techniques","0","0","Make summarizations, visualizations or analysis tools","0","0"," ","Yes","Internet","I find it myself","0","0","Someone in personal network","0"," ","Occasionally","Occasionally","Never","Occasionally","Often","Never","Often","Occasionally","Never","Never","Never"," ","With goal of finding data","Serendipitously, while reading or searching for literature","Follow citations to data","0","0"," ","Sometime successful, sometimes not","Often","Occasionally","Never","Never","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yes","I search for databases of medical images to meet research objective I am running. Sometimes I success, others I use my personnel colleagues to get these images from hospitals with regards to research ethics.","Sometimes challenging","0","Don't know where or how to look for data","0","Data are not digital","0","0","0"," ","Extremely important","Extremely important","Extremely important","Somewhat important","Important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important"," ","Extremely important","Extremely important","Somewhat important","Somewhat important","Important"," ","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Less important"," ","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Engineering and Technology","0","Health Professions","0","0","0","Medicine","0","0","0","0","Phsyics","0","0","0","0","0"," ","Researcher"," ","16-30","Jordan","University or college"," ","Data sharing is neither encouraged nor discouraged","Don't know/ Not applicable","Don't know/ Not applicable","Don't know/ Not applicable","Data reusing is neither encouraged nor discouraged","Don't know/ Not applicable","Don't know/ Not applicable","Don't know/ Not applicable","No"
76,"research articles in order to do research","Observational or empirical","0","0","0","0"," ","Basis for new study","0","0","Verify own data","0","Generate new ideas","Teaching","Prepare for new project or proposal","0","0","Compare multiple datasets to find patterns","0","Integrate with other data to create new dataset","0"," ","Yes","Using Google","I find it myself","0","Research support professional","0","0"," ","Often","Often","Often","Occasionally","Often","Never","Often","Occasionally","Occasionally","Occasionally","Occasionally"," ","With goal of finding data","0","Follow citations to data","Extract data directly from literature, tables or graphs","0"," ","Successful","Often","Occasionally","Occasionally","Occasionally","0","0","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","0","Contacting data creator","0","0","0","Conversations with personal networks","0","0","0","0","No","Not asked","Sometimes challenging","Data are not accessible","0","Data are in many different places","Data are not digital","0","Don't have necessary personal network","0"," ","Important","Important","Extremely important","Somewhat important","Important","Extremely important","Somewhat important","Somewhat important","Important","Important","Less important","Extremely important","Extremely important"," ","Important","Somewhat important","Somewhat important","Somewhat important","Somewhat important"," ","Important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Not important"," ","Extremely important","Somewhat important","Less important","Extremely important","Extremely important","Important","Important","Important","Somewhat important"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Nursing","0","0","0","0","0","0","0"," ","Researcher"," ","6-15","South Africa","University or college"," ","Data sharing is strongly encouraged","Data sharing is somewhat encouraged","Data sharing is strongly encouraged","Data sharing is strongly encouraged","Data reusing is somewhat encouraged","Data reusing is somewhat encouraged","Data reusing is somewhat encouraged","Data reusing is somewhat encouraged","Yes"
