"responseid","use_whorsrch","use_whorsrch_oth","whosupprt_stud","whosupprt_res","whosupprt_indus","whosupprt_oth","whosupprt_othresp","supprt_teachdmp","supprt_teachsklls","supprt_finddta","supprt_curate","supprt_findlit","supprt_oth","supprt_othresp","need_open","need_obs","need_exp","need_sim","need_deriv","need_oth","need_othresp","use_nwstdy","use_calb","use_bnchmrk","use_vrfctn","use_inpt","use_idea","use_tch","use_nwprj","use_nwmth","use_trnds","use_cmprsn","use_smvs","use_intgrtn","use_oth","use_othresp","source_multrepos","source_discrepos","source_gov","source_netwk","source_lit","source_coderep","source_srcheng","source_profassc","source_datsrcheng","source_commrc","source_open","strategy_goal","strategy_serend","strategy_cit","strategy_extrct","strategy_oth","strategy_othresp","succs_srcheng","find_actonln","find_serendsrch","find_serendpas","find_share","find_netwk","find_creatr","find_collab","find_conf","find_list","accss_netwk","accss_creatr","accss_collab","accss_conf","accss_list","eval_netwk","eval_creatr","eval_collab","eval_conf","eval_list","na_netwk","na_creatr","na_collab","na_conf","na_list","findaccseval_oth","find_litdat","find_litdatopen","eval_infmeth","eval_infprov","eval_infrepcreatr","eval_infrelcreatr","eval_infrepsource","eval_infmeta","eval_infsize","eval_inffrmt","eval_inflic","eval_infcovg","eval_infpurps","eval_infaccs","eval_inftopic","eval_infopen","eval_spprtd","eval_spprtdopen","eval_stratart","eval_stratdoc","eval_stratcreatr","eval_stratnetwk","eval_strateda","eval_stratopen","eval_trstuse","eval_trstsource","eval_trstrepcreatr","eval_trstmeth","eval_trsterr","eval_trstaccs","eval_trstrelcrtr","eval_trstopen","eval_qualerr","eval_qualeda","eval_qualsize","eval_qualcomplt","eval_qualsource","eval_qualresltn","eval_qualrepcreatr","eval_qualprep","eval_qualcnsistnt","eval_qualopen","disc_agricul","disc_artshuman","disc_astronom","disc_biochem","disc_biological","disc_busin","disc_chemeng","disc_chem","disc_compsci","disc_decisionsci","disc_dentist","disc_earthplanet","disc_econ","disc_energy","disc_engtech","disc_environ","disc_healthprof","disc_immun","disc_matlsci","disc_math","disc_med","disc_multi","disc_neuro","disc_nurs","disc_pharma","disc_physics","disc_psych","disc_socsci","disc_vet","disc_infosci","disc_other","disc_othresp","dem_role","dem_exprnce","dem_country","dem_org","dem_orgoth","dem_sharself","dem_shargrp","dem_shardisc","dem_sharorg","dem_reuseself","dem_reusegrp","dem_reusedisc","dem_reuseorg"
3640,"To support others"," ","Students","Researchers","0","0"," ","0","Teach people to discover and evaluate data","I find data for people","0","I find literature for people","0"," ","I help other people find education-related data (number of PhDs in certain fields, graduation rates, etc.)","0","0","0","0","Other","Education data","Basis for new study","0","0","0","0","0","Teaching","Prepare for new project or proposal","0","Identify trends or make predictions","Compare multiple datasets to find patterns","Make summarizations, visualizations or analysis tools","0","0"," ","Never","Occasionally","Often","Occasionally","Occasionally","Never","Occasionally","Occasionally","Never","Occasionally","None","With goal of finding data","0","Follow citations to data","0","0"," ","Sometimes successful, sometimes not","Occasionally","Never","Never","Never","Conversations with personal networks","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Contacting data creator","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum"," ","Sometimes","Finding data through the literature is harder than looking through repositories and it is often not in a form (measurement) that the researcher wants","Extremely important","Extremely important","Less important","Less important","Extremely important","Extremely important","Somewhat important","Somewhat important","Important","Important","Less important","Important","Extremely important"," ","Don't know"," ","Important","Important","Less important","Less important","Somewhat important"," ","Extremely important","Extremely important","Less important","Extremely important","Extremely important","Extremely important","Less important"," ","Extremely important","Extremely important","Somewhat important","Extremely important","Extremely important","Extremely important","Less important","Extremely important","Extremely important",NA,"0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Psychology","Social Science",0,"0","Other","Education","Support","16-30","USA","Research institution"," ","Don't know/ Not applicable","Don't know/ Not applicable","Data sharing is neither encouraged nor discouraged","Data sharing is strongly encouraged","Data reusing is somewhat encouraged","Data reusing is somewhat encouraged","Data reusing is strongly encouraged","Data reusing is strongly encouraged"
1361,"To support others"," ","Students","Researchers","0","0"," ","0","Teach people to discover and evaluate data","I find data for people","0","I find literature for people","0"," "," ","Observational or empirical","0","Simulation","Derived or compiled","0"," ","Basis for new study","0","Benchmarking","Verify own data","0","0","0","Prepare for new project or proposal","0","Identify trends or make predictions","Compare multiple datasets to find patterns","Make summarizations, visualizations or analysis tools","Integrate with other data to create new dataset","0"," ","Occasionally","Occasionally","Occasionally","Never","Often","Occasionally","Often","Occasionally","Occasionally","Occasionally"," ","With goal of finding data","Serendipitously, while reading or searching for literature","Follow citations to data","Extract data directly from literature, tables or graphs","0"," ","Sometimes successful, sometimes not","Often","Occasionally","Occasionally","Never","Conversations with personal networks","0","0","Attending conferences","0","Conversations with personal networks","0","0","0","0","Conversations with personal networks","Contacting data creator","0","0","0","0","0","New collaborations with data creators","0","Disciplinary mailing list or forum"," ","Sometimes","Finding data requires knowledge of a different a broader range of sources, agencies, repositories, etc. You must know what group might have assembled the data (UN, NOAA, etc) as one of the starting points. Good meta-search even within disciplines doesn't really exist.","Extremely important","Important","Somewhat important","Not important","Extremely important","Somewhat important","Not important","Less important","Somewhat important","Extremely important","Important","Important","Extremely important"," ","Don't know"," ","Important","Important","Less important","Not important","Important"," ","Somewhat important","Extremely important","Extremely important","Extremely important","Extremely important","Important","Not important"," ","Extremely important","Less important","Not important","Important","Extremely important","Important","Extremely important","Somewhat important","Somewhat important",NA,"0","0","0","0","0","Business","0","0","0","0",0,"0","0","0","0","0","0","0","0","0","0","Multidisciplinary","0","0","0","0","0","Social Science",0,"Information Science","Other","Public policy/public administrtion","Support","6-15","USA","University or college"," ","Data sharing is neither encouraged nor discouraged","Data sharing is neither encouraged nor discouraged","Data sharing is neither encouraged nor discouraged","Data sharing is neither encouraged nor discouraged","Data reusing is somewhat encouraged","Data reusing is neither encouraged nor discouraged","Data reusing is somewhat encouraged","Data reusing is neither encouraged nor discouraged"
1924,"For both my own research and to support others"," ","Students","Researchers","0","0"," ","0","0","I find data for people","Help people to curate their data","0","0"," ","I am a GIS Librarian so generally I acquire geospatial data, but often I will obtain data in non-spatial formats and georeferenced it.","Observational or empirical","0","0","Derived or compiled","Other","Geospatial","Basis for new study","0","0","0","Model, algorithm or system inputs","Generate new ideas","Teaching","0","0","0","0","Make summarizations, visualizations or analysis tools","Integrate with other data to create new dataset","0"," ","Often","Often","Often","Occasionally","Occasionally","Occasionally","Occasionally","Never","Occasionally","Occasionally"," ","0","Serendipitously, while reading or searching for literature","Follow citations to data","0","Other","On-line data portals","Sometimes successful, sometimes not","Often","Occasionally","Occasionally","Often","Conversations with personal networks","0","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","0","Contacting data creator","New collaborations with data creators","0","0","Conversations with personal networks","Contacting data creator","0","0","0","0","0","0","0","0"," ","Yes","I have wide knowledge of geospatial data resources U.S. govs, international govs, IGOs, NGOs, etc. I keep research guides for these resources current and add to them when new resources are discovered.","Important","Important","Extremely important","Not important","Important","Extremely important","Not important","Somewhat important","Extremely important","Extremely important","Less important","Less important","Important"," ","Don't know"," ","Less important","Extremely important","Less important","Somewhat important","Important"," ","Important","Important","Important","Important","Less important","Less important","Not important"," ","Important","Less important","Less important","Important","Important","Important","Important","Less important","Somewhat important",NA,"0","Arts and Humanities","0","0","0","0","0","0","0","0",0,"Earth and Planetary Sciences","Economics and Finance","0","0","Environmental Sciences","0","0","0","0","0","Multidisciplinary","0","0","0","0","0","Social Science",0,"0","Other","Geospatial","Support","6-15","USA","University or college"," ","Data sharing is strongly encouraged","Data sharing is neither encouraged nor discouraged","Data sharing is strongly encouraged","Don't know/ Not applicable","Data reusing is strongly encouraged","Data reusing is neither encouraged nor discouraged","Data reusing is strongly encouraged","Don't know/ Not applicable"
3803,"To support others"," ","Students","Researchers","0","0"," ","0","0","I find data for people","0","I find literature for people","Other","Refer researchers to our data management specialists; collate data resources together so people can find data easily"," ","Observational or empirical","Experimental","0","Derived or compiled","0"," ","0","0","0","0","Model, algorithm or system inputs","0","Teaching","0","Experiment with new methods or techniques","0","0","0","0","0"," ","Occasionally","Occasionally","Often","Occasionally","Occasionally","Occasionally","Often","Never","Occasionally","Never","Library guides","0","Serendipitously, while reading or searching for literature","Follow citations to data","0","0"," ","Sometimes successful, sometimes not","Occasionally","Occasionally","Occasionally","Occasionally","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Conversations with personal networks","Contacting data creator","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum"," ","Sometimes","It is a little more haphazard, as I am not as comfortable with finding data. Some of this stems from my not knowing ""the"" sources, but some of it is also because the finding tools are not yet available. Many times, it is a ""try and see"" approach.","Somewhat important","Important","Less important","Not important","Somewhat important","Somewhat important","Less important","Extremely important","Important","Important","Less important","Extremely important","Important","Usually we are looking for free data.","Don't know"," ","Somewhat important","Important","Less important","Important","Somewhat important"," ","Somewhat important","Somewhat important","Less important","Important","Somewhat important","Important","Less important"," ","Somewhat important","Less important","Less important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Important",NA,"0","0","Astronomy","0","0","0","0","Chemistry","Computer Sciences, IT","0",0,"0","0","0","0","0","0","0","0","Mathematics","0","0","0","0","0","Phsyics","0","0",0,"0","Other","Environmental design","Support","16-30","Canada","University or college"," ","Data sharing is somewhat encouraged","Data sharing is somewhat encouraged","Data sharing is somewhat encouraged","Data sharing is somewhat encouraged","Data reusing is somewhat encouraged","Data reusing is somewhat encouraged","Data reusing is somewhat encouraged","Data reusing is somewhat encouraged"
3856,"For both my own research and to support others"," ","Students","Researchers","0","Other","Administrators","Teach people about data management planning","Teach people to discover and evaluate data","0","Help people to curate their data","0","Other","Software evaluation, ethical/legal issues around data, etc.","Any existing datasets within a specific field are fair game. I use them as examples for teaching in e.g. evaluating repositories for trust, understanding metadata and how to increase impact through data publishing.","Observational or empirical","0","0","Derived or compiled","0"," ","Basis for new study","0","Benchmarking","0","0","0","Teaching","0","Experiment with new methods or techniques","0","0","0","0","0"," ","Often","Often","Occasionally","Often","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Never"," ","0","Serendipitously, while reading or searching for literature","0","0","0"," ","Sometimes successful, sometimes not","Often","Occasionally","Occasionally","Occasionally","Conversations with personal networks","0","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","Conversations with personal networks","Contacting data creator","0","0","0","0","Contacting data creator","0","0","0","0","0","0","0","0"," ","Yes","The literature in my field (historical literature) is indexed in oft-used resources, such as jstor. Data is scattered and seldom in repositories. When available at all, it is usually through a bespoke web output.","Important","Important","Important","Less important","Somewhat important","Extremely important","Less important","Important","Extremely important","Somewhat important","Not important","Important","Important"," ","Don't know"," ","Important","Important","Extremely important","Important","Somewhat important","In my experience, documentation is light, to say the least. I often need to consult the creators in order to make sense of it.","Somewhat important","Important","Important","Extremely important","Somewhat important","Important","Not important"," ","Important","Important","Not important","Less important","Important","Important","Important","Important","Important",NA,"0","Arts and Humanities","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"Information Science","0"," ","Support","6-15","Netherlands","University or college"," ","Data sharing is strongly encouraged","Data sharing is somewhat encouraged","Data sharing is neither encouraged nor discouraged","Data sharing is somewhat encouraged","Data reusing is strongly encouraged","Data reusing is somewhat encouraged","Data reusing is strongly encouraged","Data reusing is somewhat encouraged"
3802,"For both my own research and to support others"," ","Students","Researchers","0","0"," ","0","Teach people to discover and evaluate data","0","0","0","0"," "," ","Observational or empirical","Experimental","Simulation","0","0"," ","Basis for new study","0","Benchmarking","0","0","Generate new ideas","Teaching","Prepare for new project or proposal","0","Identify trends or make predictions","0","Make summarizations, visualizations or analysis tools","0","0"," ","Occasionally","Occasionally","Occasionally","Occasionally","Often","Never","Often","Occasionally","Never","Occasionally"," ","With goal of finding data","Serendipitously, while reading or searching for literature","Follow citations to data","Extract data directly from literature, tables or graphs","0"," ","Sometimes successful, sometimes not","Often","Occasionally","Occasionally","Never","Conversations with personal networks","0","New collaborations with data creators","Attending conferences","Disciplinary mailing list or forum","0","0","0","0","Disciplinary mailing list or forum","Conversations with personal networks","0","New collaborations with data creators","Attending conferences","0","0","Contacting data creator","0","0","0"," ","Sometimes","The phrasing of the former question is problematic for my answer in that at different times I will find different things in different ways, but that doesn't mean that I don't also at other times find data and literature using the same search methods.","Important","Important","Somewhat important","Not important","Somewhat important","Less important","Less important","Somewhat important","Important","Important","Less important","Important","Extremely important"," ","Don't know"," ","Important","Less important","Less important","Somewhat important","Less important"," ","Less important","Important","Somewhat important","Important","Extremely important","Important","Not important"," ","Extremely important","Somewhat important","Somewhat important","Important","Somewhat important","Important","Somewhat important","Somewhat important","Somewhat important",NA,"Agriculture","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"Information Science","0"," ","Support","6-15","United Kingdom","University or college"," ","Data sharing is strongly encouraged","Data sharing is somewhat encouraged","Data sharing is strongly encouraged","Data sharing is somewhat encouraged","Data reusing is somewhat encouraged","Data reusing is neither encouraged nor discouraged","Data reusing is strongly encouraged","Data reusing is somewhat encouraged"
3812,"To support others"," ","Students","Researchers","0","0"," ","Teach people about data management planning","Teach people to discover and evaluate data","I find data for people","0","I find literature for people","0"," ","Data compiled in research from related applications & methodologies; for comparison and review purposes primarily.","Observational or empirical","0","Simulation","0","0"," ","0","0","0","0","Model, algorithm or system inputs","Generate new ideas","Teaching","Prepare for new project or proposal","0","0","Compare multiple datasets to find patterns","0","Integrate with other data to create new dataset","0"," ","Occasionally","Often","Occasionally","Never","Often","Occasionally","Often","Occasionally","Often","Never"," ","With goal of finding data","Serendipitously, while reading or searching for literature","Follow citations to data","0","0"," ","Sometimes successful, sometimes not","Occasionally","Occasionally","Occasionally","Never","0","Contacting data creator","0","Attending conferences","Disciplinary mailing list or forum","0","0","0","0","0","Conversations with personal networks","0","0","0","0","0","0","New collaborations with data creators","0","0"," ","Sometimes","Search strategies vary","Somewhat important","Extremely important","Less important","Somewhat important","Important","Important","Not important","Somewhat important","Somewhat important","Important","Somewhat important","Extremely important","Extremely important"," ","Yes"," ","Extremely important","Somewhat important","Somewhat important","Important","Less important"," ","Important","Extremely important","Somewhat important","Somewhat important","Important","Extremely important","Less important"," ","Extremely important","Extremely important","Somewhat important","Important","Important","Extremely important","Less important","Somewhat important","Important",NA,"0","0","0","0","0","0","0","0","Computer Sciences, IT","Decision Sciences",0,"0","0","Energy","Engineering and Technology","Environmental Sciences","Health Professions","0","Materials Science","0","0","0","0","0","0","0","0","Social Science",0,"Information Science","0"," ","Support","31+","USA","University or college"," ","Data sharing is somewhat encouraged","Data sharing is somewhat encouraged","Data sharing is strongly encouraged","Data sharing is neither encouraged nor discouraged","Data reusing is somewhat encouraged","Data reusing is neither encouraged nor discouraged","Data reusing is neither encouraged nor discouraged","Data reusing is neither encouraged nor discouraged"
3793,"To support others"," ","Students","Researchers","0","0"," ","Teach people about data management planning","0","0","Help people to curate their data","I find literature for people","0"," "," ","0","Experimental","Simulation","0","0"," ","Basis for new study","0","Benchmarking","Verify own data","Model, algorithm or system inputs","Generate new ideas","Teaching","Prepare for new project or proposal","0","0","Compare multiple datasets to find patterns","Make summarizations, visualizations or analysis tools","0","0"," ","Occasionally","Often","Often","Never","Occasionally","Occasionally","Occasionally","Never","Never","Never"," ","With goal of finding data","Serendipitously, while reading or searching for literature","Follow citations to data","Extract data directly from literature, tables or graphs","0"," ","Sometimes successful, sometimes not","Occasionally","Occasionally","Never","Occasionally","Conversations with personal networks","0","0","0","0","Conversations with personal networks","0","New collaborations with data creators","0","0","Conversations with personal networks","0","New collaborations with data creators","0","0","0","Contacting data creator","0","Attending conferences","Disciplinary mailing list or forum"," ","Sometimes","I will occasionally look for a specific dataset outside of that which I expect to find attached to a journal article.","Extremely important","Important","Extremely important","Important","Extremely important","Extremely important","Less important","Less important","Important","Extremely important","Somewhat important","Important","Extremely important"," ","Yes"," ","Extremely important","Extremely important","Somewhat important","Important","Extremely important"," ","Important","Extremely important","Extremely important","Extremely important","Extremely important","Important","Somewhat important"," ","Extremely important","Important","Somewhat important","Extremely important","Extremely important","Extremely important","Extremely important","Somewhat important","Extremely important",NA,"0","0","0","0","0","0","Chemical Engineering","0","0","0",0,"0","0","0","Engineering and Technology","Environmental Sciences","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0"," ","Support","0-5","USA","University or college"," ","Data sharing is somewhat encouraged","Data sharing is somewhat encouraged","Data sharing is neither encouraged nor discouraged","Data sharing is somewhat discouraged","Data reusing is somewhat encouraged","Data reusing is somewhat encouraged","Data reusing is neither encouraged nor discouraged","Data reusing is neither encouraged nor discouraged"
3688,"To support others"," ","Students","Researchers","Industry employees","Other","Private individuals","Teach people about data management planning","Teach people to discover and evaluate data","I find data for people","Help people to curate their data","0","Other","Create training resources e.g web pages, video tutorials","Large scale national and international survey data, both cross-sectional and longitudinal","Observational or empirical","Experimental","0","0","0"," ","Basis for new study","0","Benchmarking","0","0","0","Teaching","0","0","Identify trends or make predictions","0","Make summarizations, visualizations or analysis tools","Integrate with other data to create new dataset","0"," ","Often","Occasionally","Often","Occasionally","Occasionally","Never","Often","Occasionally","Often","Never"," ","0","0","Follow citations to data","0","0"," ","Successful","Often","Occasionally","Occasionally","Never","Conversations with personal networks","0","0","Attending conferences","Disciplinary mailing list or forum","0","Contacting data creator","0","0","0","0","Contacting data creator","New collaborations with data creators","0","Disciplinary mailing list or forum","0","0","0","0","0"," ","Yes","I tend to search for data by specifying parameters e.g. geographical and date coverage, or by looking for data created by a specific organisation. My literature searches are more general and don't have so many search filters applied.","Extremely important","Important","Important","Not important","Important","Important","Less important","Somewhat important","Extremely important","Extremely important","Not important","Important","Extremely important"," ","Yes"," ","Less important","Extremely important","Less important","Not important","Somewhat important"," ","Important","Important","Important","Important","Important","Less important","Not important"," ","Important","Less important","Less important","Important","Important","Somewhat important","Somewhat important","Less important","Somewhat important",NA,"0","Arts and Humanities","0","0","0","0","0","0","0","0",0,"0","Economics and Finance","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Social Science",0,"0","0"," ","Support","6-15","United Kingdom","University or college"," ","Data sharing is strongly encouraged","Data sharing is strongly encouraged","Data sharing is strongly encouraged","Data sharing is somewhat encouraged","Data reusing is strongly encouraged","Data reusing is strongly encouraged","Data reusing is strongly encouraged","Data reusing is strongly encouraged"
4001,"To support others"," ","Students","Researchers","0","0"," ","0","0","0","Help people to curate their data","0","0"," ","Numeric Social Science Data, mainly quantitative","Observational or empirical","0","0","0","0"," ","Basis for new study","0","0","Verify own data","0","Generate new ideas","Teaching","Prepare for new project or proposal","Experiment with new methods or techniques","Identify trends or make predictions","Compare multiple datasets to find patterns","0","Integrate with other data to create new dataset","0"," ","Occasionally","Often","Occasionally","Occasionally","Occasionally","Occasionally","Never","Never","Never","Never"," ","0","0","Follow citations to data","0","0"," ","Not asked","Often","Never","Occasionally","Often","Conversations with personal networks","Contacting data creator","0","Attending conferences","Disciplinary mailing list or forum","Conversations with personal networks","Contacting data creator","0","0","0","Conversations with personal networks","Contacting data creator","0","0","0","0","0","New collaborations with data creators","0","0"," ","Yes","I check other channels for data than for literature, e.g. if a project produces data I check the project's site directly for their data and hope for links to repositories.","Important","Important","Important","Not important","Important","Extremely important","Less important","Somewhat important","Important","Somewhat important","Less important","Important","Important"," ","Don't know"," ","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important"," ","Somewhat important","Important","Somewhat important","Extremely important","Important","Important","Less important"," ","Important","Less important","Less important","Extremely important","Somewhat important","Important","Somewhat important","Important","Important",NA,"0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Social Science",0,"0","0"," ","Support","0-5","Austria","University or college"," ","Data sharing is strongly encouraged","Data sharing is strongly encouraged","Data sharing is neither encouraged nor discouraged","Data sharing is somewhat encouraged","Data reusing is strongly encouraged","Data reusing is strongly encouraged","Data reusing is neither encouraged nor discouraged","Data reusing is strongly encouraged"
